"id","name","founded","address","lat","lng"
"ad9ecd162c5e4eb2a2004ca11496c186","Syncsort",1968,,,
"2bda8a961441f9bae2ddc717e8010459","Clockwork Solutions",1983,,,
"667fdba9baea299da2565a2164e19cc0","Kognitio",1987,,,
"688edb9bb2e8fb7122ffa25319aa31f8","GeneXus",1988,,,
"dc6bb8afbbe3d5e74d056702c2df9b45","Savi Technology",1989,,,
"cf1fbbb866651d2cd1a90339fa59544c","Persistent Systems",1990,,,
"b6078c462240a1696dd380d499664bb6","Impetus Technologies",1991,,,
"4e52dfd778c473f91bcaddae550ad2c9","Informatica",1993,,,
"2316544d78078d5f179f200f71ac18e1","Vitria Technology, Inc",1994,,,
"d3b05a24c6ab9ad9d390638543066f4d","NetOwl",1996,"United States, Chantilly",49.19461,2.47124
"13260388136565c842346cd62759e944","CyberVision",1997,"United States, Florida",28.75054,-82.5001
"25aacf3b8d918c4b0e7acda812061141","Globus",1997,"United States, Chicago",41.85003,-87.65005
"dd5a4222d43da214257a20d8247196a7","IID",1997,"United States, Tacoma",47.25288,-122.44429
"41c7079788376c1cb73cc49e09d7562e","K2 Partnering Solutions",1997,"United Kingdom, London",51.474,-0.2022
"cc5a8e4e552f657fa8e4c05fe20708fa","Saama",1997,"United States, Campbell",-28.79972,23.71482
"e12befd195a136f3a1dd8e27c653af22","Echovoice",1998,"United States, Scottsdale",33.50921,-111.89903
"b6721c8c3f435399cbfb2014dd4ddc60","Enkata Technologies",1999,"United States, San Mateo",14.6982,121.1236
"6e5be54fc145c89ee95af9d67b17ec6b","Health Market Science",1999,"United States, King Of Prussia",40.08927,-75.39602
"965ec49dffc00a843b1432d49d5748a6","Portfolio Defense",1999,"United States, San Rafael",-34.61772,-68.33007
"89696d74d1ebb867ee81e403b9ef0613","thinkmarketgrow",1999,"Austria, Vienna",48.20849,16.37208
"4425d51c84b10690157eaefc97b01b46","ClickFox",2000,"United States, Atlanta",33.8508,-84.3617
"e231c24f84ab8169aa60586d5d1893bf","Conclusive Analytics",2000,"United States, Charlotte",35.22709,-80.84313
"b145e4cc2802d73df5d9f3c35b1ff573","Digital Reasoning",2000,"United States, Arlington",38.8816,-77.1109
"78dd4c599c6d00a735d3e4fc65e45727","Liaison Technologies",2000,"United States, Alpharetta",34.07538,-84.29409
"f2777a867b5344740060c88851c9d842","TA Telecom",2000,"Egypt, Cairo",30.06263,31.24967
"0283becadd5144cb4a637bd2ac9fb862","Tyco Ventures",2000,"United States, San Francisco",9.99299,-84.12934
"5911e8c3ec020605e099c0e2769dc8d3","WITBE",2000,"United States, New York",43.00035,-75.4999
"bf1b2365137bb6e8151ece01ee81abd6","Altoros",2001,"United States, Sunnyvale",37.36883,-122.03635
"28644452edec2d727eb5cd2e0a836d80","Jaspersoft",2001,"United States, San Francisco",37.7654,-122.4031
"1d5a40815a0e9250dbca34d3b4fba01e","RemitDATA",2001,"United States, Memphis",35.14953,-90.04898
"760b2b84eed50d3d8383f3398c658e2e","Upper Quadrant",2001,"United States, Reston",38.96872,-77.3411
"70b186672fcd88e57426c2a9d97a6c10","Market6",2002,"United States, Deerfield",44.23062,-71.61703
"7d35c2dfe27b708faad81b67c8671c40","SolidQ",2002,,,
"442e6e83b8f2a1fbeb4b7736969ab19b","Supra Nimbus Corporation",2002,"United States, Monmouth Junction",40.379,-74.54654
"0f86fc4a5540590bc2ed57c3437be1ea","Agilis International",2003,"United States, Rockville",-40.73333,172.63333
"11116bcfdbbc12382a6f90ccd2d3ac22","Evoke Technologies",2003,"United States, Dayton",39.75895,-84.19161
"2585fd85b56676939e8d7a60b995a1ab","Kitenga",2003,"United States, Santa Clara",22.40694,-79.96472
"161f4b59814089ac406f04bb40b97878","Retail Solutions",2003,"United States, Mountain View",38.00881,-122.11746
"92a337b382119848d4df8ce36172d8f1","SeeWhy",2003,"United States, Boston",42.6751,-71.1472
"4a89e7cec03b3e85b875e4d1886dad15","Aviture",2004,"United States, Omaha",41.25861,-95.93779
"f8542f89f715933f62b952e99fb0711c","eBureau",2004,"United States, Saint Cloud",45.5609,-94.1595
"9f16e9145e0a0e923ca440da279dff5b","InfoCepts",2004,"United States, Mclean",47.60696,-101.32183
"37b222de7a6cad707b8318e36049f255","Intersec",2004,"France, Paris",48.85341,2.3488
"585709d46d3987103b6f3f97bef84c96","Mu Sigma",2004,"United States, Northbrook",39.24645,-84.58356
"79e0d8e2b82625ca9ba6b79336e20722","Opera Solutions",2004,"United States, Jersey City",40.72816,-74.07764
"997bccedd1ec643180be4931b42fa411","Optimum Biometric Labs",2004,"Sweden, Karlskrona",56.16156,15.58661
"221f24fb8b7a36c07c84311cd99efcb3","Pentaho",2004,"United States, Orlando",28.53834,-81.37924
"6cff201c0b50a9d351e2f91c3562f57c","PRAGSIS BIDOOP",2004,"Spain, Madrid",40.4165,-3.70256
"417f4a23cb1e2a02dad960191f62a89a","RainStor",2004,"United States, San Francisco",51.8655,-2.2352
"95592fef66a1d4784f5db809e0c090b4","Squid Solutions",2004,"France, Paris",48.85341,2.3488
"4d2b16efcf90ebe0dceee347cd1f906e","WisdomForce Technologies",2004,"United States, Seattle",47.60621,-122.33207
"e0b015b487d232e573d4c5ae46b1c9d3","Appfluent Technology",2005,"United States, Rockville",-40.73333,172.63333
"ff65b5a2e2f41557b091e93dfe88873e","Aster Data Systems",2005,"United States, San Carlos",37.5069,-122.2476
"556ed6fce332ea471d6a30f65425a721","east vision systems",2005,"Romania, Iasi",47.16667,27.6
"7cea059c970dc69039f6268786af7e71","Kapow Software",2005,"United States, Palo Alto",37.4263,-122.1411
"9bbaf5405994029a3346501ad2d1fb89","OpTier",2005,"United States, New York",40.7549,-73.9856
"02dac2e2b087135e29c022121323419d","PresenceID",2005,"United States, Salt Lake City",40.76078,-111.89105
"aad7c7f1a3f7124bd5c1fbc621da5bad","RecruitingScience",2005,"United States, New York",43.00035,-75.4999
"bca7151df3139126b61a2b7a7723bc4e","Talend",2005,"United States, Redwood City",37.3719,-122.1117
"8610b0946af90334cb29bdbf4155e6eb","Xeround",2005,"United States, Bellevue",47.5827,-122.1354
"62af89d6e7ea892d2514203a10c8f61e","2THINKNOW",2006,"Australia, Melbourne",-37.814,144.96332
"f8c1972fd495d9e9c5a9efc66ec870d8","Chatmine Technologies",2006,"United States, Wayland",32.60957,-98.82812
"74faf08f93bdfbe34089f2e175a2d7f9","Conviva",2006,"United States, San Mateo",37.5528,-122.2916
"abf79e6b9a75bdfcba6d6efa22630b59","Expertmaker",2006,"Sweden, Malmö",55.60587,13.00073
"eaff33628256e56d7e9addf9e684154e","Fintellix Solutions",2006,"India, Bangalore",-34.40928,148.62877
